accuracy,recall,precision,f1,mcc,spd,aod,eod
0.667,0.658,0.665,0.659,0.323,0.125,0.082,0.074
0.66,0.656,0.657,0.656,0.313,0.111,0.06,0.083
0.69,0.68,0.693,0.68,0.373,0.173,0.131,0.093
0.673,0.66,0.678,0.658,0.338,0.17,0.137,0.089
0.682,0.673,0.682,0.674,0.355,0.175,0.135,0.097
0.668,0.651,0.682,0.646,0.332,0.013,0.032,0.035
0.665,0.657,0.662,0.657,0.319,0.101,0.056,0.053
0.679,0.663,0.69,0.659,0.352,0.068,0.026,0.003
0.69,0.682,0.69,0.683,0.372,0.188,0.143,0.118
0.66,0.652,0.658,0.652,0.31,0.057,0.02,0.009
0.674,0.659,0.685,0.655,0.343,0.139,0.109,0.051
0.683,0.671,0.688,0.67,0.359,0.171,0.134,0.089
0.668,0.651,0.683,0.645,0.332,0.076,0.04,0.01
0.665,0.651,0.671,0.648,0.321,0.05,0.012,0.01
0.668,0.661,0.665,0.662,0.326,0.079,0.031,0.034
0.661,0.655,0.658,0.655,0.312,0.108,0.058,0.078
0.643,0.628,0.646,0.624,0.274,0.028,0.001,0.034
0.676,0.665,0.679,0.664,0.344,0.179,0.148,0.091
0.669,0.654,0.677,0.651,0.33,0.068,0.029,0.006
0.661,0.646,0.669,0.642,0.314,0.069,0.039,0.01
0.67,0.653,0.683,0.648,0.335,0.018,0.025,0.035
0.662,0.658,0.659,0.658,0.317,0.101,0.058,0.046
0.67,0.657,0.674,0.656,0.331,0.056,0.029,0.043
0.675,0.667,0.673,0.668,0.34,0.146,0.102,0.084
0.672,0.667,0.669,0.667,0.335,0.106,0.054,0.066
0.666,0.653,0.67,0.651,0.323,0.128,0.1,0.04
0.681,0.672,0.68,0.673,0.352,0.155,0.101,0.117
0.672,0.659,0.675,0.658,0.334,0.213,0.182,0.131
0.673,0.661,0.675,0.66,0.336,0.07,0.035,0.011
0.672,0.666,0.669,0.667,0.335,0.113,0.072,0.046
0.653,0.641,0.653,0.639,0.294,0.15,0.126,0.064
0.66,0.648,0.661,0.647,0.308,0.059,0.027,0.017
0.665,0.657,0.662,0.657,0.319,0.201,0.168,0.127
0.663,0.653,0.662,0.653,0.315,0.111,0.075,0.043
0.682,0.673,0.682,0.673,0.354,0.159,0.116,0.091
0.669,0.663,0.666,0.664,0.329,0.17,0.127,0.113
0.648,0.638,0.647,0.638,0.285,0.106,0.073,0.049
0.689,0.681,0.688,0.682,0.369,0.179,0.132,0.112
0.684,0.676,0.684,0.677,0.36,0.153,0.111,0.078
0.691,0.683,0.69,0.684,0.373,0.152,0.105,0.085
0.68,0.671,0.681,0.671,0.351,0.111,0.063,0.058
0.676,0.669,0.675,0.67,0.344,0.142,0.094,0.091
0.67,0.664,0.668,0.665,0.332,0.113,0.075,0.039
0.689,0.679,0.69,0.68,0.369,0.153,0.107,0.087
0.684,0.676,0.684,0.677,0.36,0.154,0.109,0.088
0.684,0.673,0.686,0.673,0.359,0.142,0.098,0.075
0.666,0.648,0.682,0.642,0.328,0.036,0.0,0.032
0.678,0.669,0.678,0.669,0.347,0.135,0.087,0.084
0.684,0.668,0.699,0.664,0.365,0.116,0.079,0.035
0.667,0.654,0.671,0.652,0.325,0.108,0.07,0.044
