accuracy,recall,precision,f1,mcc,spd,aod,eod
0.675,0.673,0.674,0.673,0.347,0.159,0.131,0.093
0.684,0.677,0.691,0.676,0.368,0.109,0.083,0.02
0.676,0.675,0.675,0.675,0.35,0.168,0.139,0.103
0.677,0.676,0.676,0.676,0.353,0.184,0.156,0.117
0.675,0.674,0.674,0.674,0.348,0.148,0.119,0.084
0.681,0.68,0.68,0.68,0.361,0.21,0.181,0.141
0.676,0.675,0.675,0.675,0.35,0.174,0.146,0.105
0.686,0.679,0.691,0.678,0.369,0.134,0.108,0.045
0.675,0.674,0.674,0.674,0.348,0.145,0.116,0.082
0.684,0.678,0.689,0.677,0.367,0.141,0.114,0.053
0.679,0.677,0.677,0.677,0.354,0.12,0.091,0.05
0.675,0.674,0.674,0.674,0.348,0.158,0.13,0.091
0.676,0.675,0.675,0.675,0.349,0.162,0.134,0.095
0.68,0.679,0.679,0.679,0.357,0.196,0.167,0.126
0.675,0.673,0.674,0.674,0.347,0.141,0.112,0.075
0.673,0.672,0.672,0.672,0.344,0.138,0.109,0.072
0.676,0.675,0.675,0.675,0.35,0.168,0.139,0.103
0.679,0.678,0.678,0.678,0.356,0.202,0.173,0.133
0.678,0.677,0.677,0.677,0.354,0.185,0.156,0.117
0.686,0.679,0.691,0.678,0.369,0.134,0.108,0.045
0.675,0.674,0.674,0.674,0.348,0.142,0.113,0.078
0.674,0.673,0.673,0.673,0.346,0.142,0.113,0.076
0.685,0.679,0.689,0.678,0.368,0.155,0.129,0.063
0.676,0.674,0.675,0.675,0.35,0.124,0.095,0.055
0.677,0.675,0.676,0.675,0.351,0.139,0.11,0.073
0.677,0.676,0.676,0.676,0.353,0.171,0.142,0.105
0.676,0.675,0.675,0.675,0.349,0.154,0.125,0.089
0.677,0.676,0.676,0.676,0.353,0.171,0.142,0.105
0.679,0.677,0.677,0.677,0.354,0.129,0.1,0.058
0.669,0.658,0.666,0.659,0.324,0.216,0.19,0.166
0.666,0.663,0.663,0.663,0.326,0.225,0.194,0.193
0.667,0.657,0.664,0.658,0.321,0.214,0.188,0.164
0.666,0.656,0.663,0.657,0.319,0.218,0.192,0.169
0.667,0.663,0.663,0.663,0.326,0.194,0.161,0.171
0.668,0.665,0.664,0.665,0.329,0.216,0.184,0.187
0.667,0.664,0.663,0.663,0.327,0.205,0.172,0.181
0.667,0.664,0.663,0.663,0.327,0.205,0.172,0.181
0.665,0.661,0.661,0.661,0.321,0.192,0.159,0.169
0.666,0.655,0.664,0.655,0.318,0.177,0.147,0.145
0.667,0.664,0.663,0.664,0.327,0.226,0.195,0.193
