,Accuracy,Recall,Precision,F1,MCC,SPD,AOD,EOD,Run
186,0.609,0.595,0.622,0.578,0.215,0.136,0.126,0.061,0
187,0.613,0.599,0.625,0.585,0.222,0.069,0.056,0.008,0
188,0.586,0.566,0.613,0.527,0.173,0.071,0.085,0.092,0
189,0.576,0.575,0.575,0.575,0.15,0.05,0.048,0.048,0
190,0.531,0.5,0.265,0.347,0.0,0.0,0.0,0.0,0
191,0.669,0.658,0.666,0.659,0.324,0.19,0.162,0.147,2
192,0.665,0.654,0.662,0.655,0.316,0.183,0.155,0.142,2
193,0.669,0.658,0.668,0.658,0.325,0.163,0.135,0.114,2
194,0.668,0.657,0.665,0.658,0.322,0.186,0.157,0.147,2
195,0.664,0.654,0.661,0.654,0.314,0.216,0.189,0.175,2
196,0.65,0.636,0.648,0.635,0.284,0.174,0.151,0.137,2
197,0.643,0.627,0.642,0.624,0.268,0.128,0.102,0.106,2
198,0.628,0.614,0.624,0.612,0.238,0.141,0.124,0.095,2
199,0.633,0.617,0.631,0.615,0.248,0.101,0.077,0.085,2
200,0.552,0.501,0.776,0.358,0.036,0.002,0.002,0.0,2
201,0.553,0.502,0.776,0.359,0.045,0.002,0.003,0.0,2
202,0.552,0.501,0.776,0.358,0.036,0.002,0.002,0.0,2
203,0.551,0.5,0.276,0.355,0.0,0.0,0.0,0.0,2
204,0.665,0.653,0.667,0.652,0.32,0.172,0.142,0.11,3
205,0.66,0.65,0.661,0.649,0.311,0.188,0.158,0.132,3
206,0.655,0.644,0.658,0.641,0.301,0.114,0.085,0.055,3
207,0.659,0.648,0.662,0.646,0.309,0.19,0.164,0.119,3
208,0.652,0.643,0.652,0.642,0.294,0.201,0.176,0.135,3
209,0.633,0.626,0.63,0.625,0.256,0.126,0.101,0.075,3
210,0.651,0.644,0.649,0.644,0.293,0.24,0.206,0.22,3
211,0.636,0.629,0.633,0.628,0.262,0.129,0.102,0.089,3
212,0.556,0.555,0.555,0.555,0.11,0.085,0.085,0.011,3
213,0.541,0.5,0.27,0.351,0.0,0.0,0.0,0.0,3
