accuracy,recall,precision,f1,mcc,spd,aod,eod
0.846,0.769,0.804,0.784,0.572,0.187,0.084,0.083
0.85,0.767,0.813,0.785,0.578,0.161,0.046,0.029
0.846,0.772,0.801,0.785,0.573,0.181,0.059,0.036
0.849,0.772,0.808,0.787,0.579,0.187,0.086,0.092
0.852,0.779,0.81,0.792,0.588,0.192,0.085,0.085
0.86,0.77,0.835,0.794,0.602,0.172,0.081,0.1
0.85,0.777,0.808,0.79,0.584,0.199,0.103,0.117
0.847,0.769,0.804,0.784,0.572,0.189,0.079,0.07
0.851,0.776,0.81,0.79,0.585,0.175,0.054,0.032
0.847,0.776,0.803,0.788,0.578,0.183,0.064,0.044
0.859,0.77,0.834,0.794,0.6,0.17,0.081,0.102
0.849,0.779,0.805,0.791,0.584,0.184,0.06,0.035
0.851,0.775,0.812,0.79,0.586,0.178,0.063,0.049
0.859,0.767,0.835,0.792,0.599,0.167,0.076,0.094
0.843,0.768,0.798,0.781,0.565,0.188,0.085,0.085
0.859,0.77,0.835,0.794,0.601,0.167,0.069,0.079
0.856,0.77,0.825,0.791,0.592,0.168,0.063,0.066
0.848,0.774,0.805,0.787,0.578,0.189,0.083,0.084
0.846,0.768,0.802,0.782,0.569,0.179,0.074,0.074
0.855,0.757,0.834,0.784,0.586,0.163,0.077,0.099
0.847,0.773,0.802,0.785,0.574,0.192,0.089,0.096
0.859,0.772,0.831,0.795,0.601,0.168,0.065,0.073
0.85,0.777,0.807,0.79,0.583,0.184,0.075,0.076
0.849,0.775,0.805,0.788,0.579,0.186,0.084,0.094
0.847,0.769,0.805,0.784,0.573,0.181,0.072,0.069
0.856,0.758,0.835,0.785,0.588,0.164,0.074,0.091
0.846,0.733,0.827,0.762,0.552,0.163,0.109,0.162
0.85,0.747,0.828,0.775,0.57,0.164,0.084,0.11
0.85,0.775,0.807,0.789,0.581,0.185,0.073,0.067
0.849,0.778,0.805,0.79,0.583,0.188,0.077,0.074
0.856,0.77,0.825,0.791,0.592,0.175,0.078,0.092
0.854,0.757,0.831,0.783,0.583,0.168,0.082,0.106
0.862,0.776,0.837,0.799,0.61,0.17,0.073,0.09
0.852,0.781,0.81,0.793,0.59,0.19,0.073,0.064
0.842,0.769,0.794,0.78,0.563,0.196,0.091,0.09
0.846,0.741,0.819,0.767,0.555,0.179,0.12,0.169
0.862,0.774,0.838,0.798,0.608,0.165,0.063,0.072
0.846,0.729,0.832,0.76,0.551,0.159,0.106,0.158
0.846,0.733,0.829,0.763,0.554,0.163,0.106,0.157
0.86,0.769,0.835,0.793,0.6,0.168,0.071,0.085
0.862,0.776,0.835,0.799,0.608,0.169,0.065,0.074
0.847,0.775,0.802,0.787,0.577,0.193,0.089,0.095
0.848,0.772,0.804,0.786,0.575,0.191,0.091,0.101
0.858,0.769,0.829,0.792,0.595,0.168,0.063,0.065
0.845,0.767,0.8,0.781,0.566,0.189,0.088,0.095
0.856,0.768,0.827,0.79,0.592,0.169,0.067,0.073
0.849,0.735,0.835,0.766,0.562,0.156,0.096,0.142
0.846,0.765,0.804,0.781,0.568,0.178,0.07,0.066
0.851,0.767,0.814,0.786,0.579,0.165,0.048,0.032
0.846,0.731,0.83,0.761,0.553,0.159,0.103,0.153
0.858,0.768,0.832,0.792,0.597,0.171,0.079,0.099
0.862,0.781,0.831,0.801,0.61,0.176,0.072,0.082
0.844,0.771,0.797,0.782,0.567,0.183,0.07,0.063
0.854,0.77,0.821,0.79,0.588,0.168,0.059,0.056
0.846,0.778,0.798,0.787,0.576,0.198,0.087,0.085
0.844,0.734,0.821,0.762,0.549,0.176,0.133,0.201
0.862,0.777,0.834,0.799,0.608,0.174,0.074,0.087
0.839,0.765,0.789,0.775,0.553,0.19,0.081,0.073
0.852,0.775,0.811,0.79,0.585,0.178,0.07,0.071
0.856,0.776,0.82,0.794,0.594,0.173,0.062,0.059
0.842,0.768,0.793,0.779,0.561,0.192,0.083,0.076
0.85,0.756,0.818,0.779,0.571,0.175,0.092,0.118
0.861,0.776,0.833,0.798,0.606,0.174,0.075,0.089
0.849,0.771,0.808,0.786,0.578,0.184,0.082,0.089
