accuracy,recall,precision,f1,mcc,spd,aod,eod
0.767,0.663,0.78,0.677,0.428,0.006,0.075,0.026
0.767,0.671,0.766,0.686,0.427,0.037,0.024,0.009
0.777,0.671,0.81,0.686,0.46,0.016,0.079,0.035
0.743,0.641,0.729,0.65,0.359,0.027,0.029,0.036
0.77,0.666,0.79,0.68,0.439,0.001,0.058,0.046
0.773,0.674,0.788,0.689,0.447,0.031,0.035,0.026
0.727,0.663,0.684,0.67,0.347,0.101,0.049,0.05
0.7,0.641,0.653,0.645,0.294,0.018,0.063,0.021
0.73,0.668,0.691,0.675,0.358,0.062,0.025,0.064
0.737,0.631,0.726,0.637,0.344,0.008,0.023,0.016
0.71,0.617,0.667,0.622,0.279,0.056,0.034,0.05
0.74,0.639,0.727,0.647,0.355,0.134,0.104,0.137
0.72,0.663,0.678,0.669,0.341,0.041,0.006,0.039
0.743,0.681,0.708,0.689,0.388,0.111,0.081,0.082
0.73,0.631,0.705,0.638,0.328,0.042,0.009,0.055
0.72,0.624,0.685,0.63,0.303,0.149,0.139,0.1
0.72,0.621,0.686,0.627,0.301,0.038,0.01,0.042
0.74,0.636,0.731,0.644,0.355,0.043,0.012,0.047
0.727,0.616,0.712,0.618,0.313,0.021,0.014,0.047
0.743,0.665,0.714,0.676,0.376,0.221,0.2,0.183
0.743,0.631,0.754,0.636,0.365,0.053,0.018,0.072
0.733,0.618,0.735,0.62,0.333,0.018,0.025,0.066
0.72,0.655,0.678,0.662,0.332,0.067,0.069,0.037
0.723,0.666,0.682,0.672,0.348,0.105,0.079,0.077
0.707,0.598,0.667,0.598,0.256,0.103,0.079,0.112
0.727,0.668,0.686,0.675,0.354,0.05,0.023,0.02
0.733,0.631,0.715,0.638,0.336,0.154,0.135,0.13
0.683,0.599,0.626,0.603,0.224,0.054,0.009,0.121
0.753,0.693,0.721,0.703,0.414,0.166,0.151,0.089
0.753,0.691,0.722,0.701,0.411,0.075,0.049,0.031
0.737,0.67,0.7,0.679,0.369,0.099,0.079,0.051
0.707,0.656,0.663,0.659,0.319,0.155,0.139,0.104
0.763,0.672,0.76,0.686,0.423,0.034,0.009,0.047
0.72,0.637,0.68,0.645,0.314,0.186,0.175,0.133
0.733,0.697,0.697,0.697,0.394,0.101,0.079,0.041
0.747,0.654,0.73,0.665,0.377,0.089,0.065,0.061
