accuracy,recall,precision,f1,mcc,avg_spd,avg_aod,avg_eod,spd,aod,eod
0.667,0.659,0.673,0.657,0.331,0.11,0.08299999999999999,0.019,0.167,0.134,0.041
0.662,0.654,0.667,0.651,0.32,0.10200000000000001,0.0745,0.022,0.149,0.107,0.036
0.662,0.655,0.663,0.655,0.319,0.17,0.1495,0.0695,0.246,0.215,0.102
0.647,0.642,0.647,0.642,0.289,0.0965,0.0655,0.045,0.15,0.121,0.087
0.659,0.654,0.659,0.654,0.313,0.12,0.0885,0.055,0.172,0.141,0.105
0.652,0.646,0.652,0.645,0.297,0.05449999999999999,0.039,0.024,0.109,0.079,0.066
0.669,0.663,0.671,0.663,0.334,0.145,0.11699999999999999,0.0575,0.242,0.209,0.1
0.659,0.652,0.662,0.65,0.314,0.1355,0.10600000000000001,0.0665,0.183,0.154,0.103
0.662,0.656,0.664,0.656,0.32,0.134,0.1045,0.0595,0.198,0.157,0.098
0.649,0.645,0.648,0.645,0.292,0.16749999999999998,0.14100000000000001,0.097,0.289,0.252,0.19
0.66,0.652,0.666,0.649,0.317,0.11249999999999999,0.0825,0.043,0.167,0.137,0.077
0.654,0.649,0.653,0.648,0.302,0.1065,0.079,0.035500000000000004,0.177,0.147,0.096
0.662,0.658,0.661,0.658,0.32,0.10400000000000001,0.072,0.04,0.158,0.113,0.059
0.67,0.664,0.673,0.662,0.337,0.1235,0.0955,0.0365,0.194,0.152,0.069
0.659,0.652,0.661,0.651,0.313,0.122,0.093,0.0565,0.213,0.182,0.096
0.639,0.634,0.637,0.634,0.271,0.11449999999999999,0.087,0.06,0.168,0.141,0.104
0.637,0.633,0.635,0.633,0.269,0.0995,0.07400000000000001,0.047,0.143,0.106,0.105
0.655,0.652,0.654,0.653,0.306,0.14,0.1115,0.07250000000000001,0.199,0.153,0.123
0.659,0.651,0.662,0.649,0.313,0.099,0.07300000000000001,0.051000000000000004,0.174,0.143,0.097
0.648,0.644,0.646,0.644,0.291,0.1225,0.0975,0.0465,0.169,0.13,0.066
0.655,0.65,0.655,0.65,0.305,0.105,0.076,0.048999999999999995,0.182,0.152,0.098
0.65,0.647,0.648,0.647,0.295,0.14600000000000002,0.11399999999999999,0.095,0.225,0.188,0.161
0.666,0.662,0.664,0.662,0.327,0.1325,0.10250000000000001,0.0555,0.219,0.177,0.105
0.672,0.663,0.682,0.659,0.344,0.1215,0.0895,0.046,0.194,0.143,0.097
0.659,0.655,0.658,0.656,0.313,0.09,0.066,0.0455,0.181,0.148,0.147
0.655,0.652,0.654,0.652,0.306,0.1185,0.092,0.043,0.171,0.129,0.071
0.659,0.655,0.657,0.655,0.312,0.1265,0.098,0.046,0.173,0.144,0.072
0.657,0.654,0.656,0.654,0.309,0.1225,0.0935,0.054,0.195,0.154,0.095
0.678,0.671,0.682,0.67,0.353,0.121,0.0865,0.0505,0.211,0.166,0.104
0.656,0.653,0.654,0.654,0.308,0.1365,0.1085,0.06,0.198,0.153,0.101
0.673,0.666,0.676,0.665,0.341,0.1255,0.0945,0.044000000000000004,0.191,0.158,0.099
0.667,0.66,0.67,0.659,0.33,0.11399999999999999,0.08449999999999999,0.035500000000000004,0.154,0.118,0.074
0.642,0.639,0.641,0.639,0.279,0.126,0.1025,0.053000000000000005,0.186,0.15,0.088
0.646,0.642,0.644,0.642,0.286,0.1405,0.11449999999999999,0.0725,0.222,0.181,0.132
0.662,0.65,0.682,0.642,0.33,0.16949999999999998,0.1475,0.069,0.251,0.211,0.127
0.653,0.648,0.652,0.648,0.3,0.128,0.1,0.061,0.173,0.136,0.091
0.653,0.648,0.652,0.649,0.3,0.1255,0.098,0.052500000000000005,0.18,0.13,0.11
0.642,0.638,0.64,0.638,0.278,0.134,0.11199999999999999,0.055,0.203,0.175,0.087
0.652,0.649,0.65,0.649,0.299,0.14300000000000002,0.11049999999999999,0.0895,0.241,0.196,0.166
0.654,0.649,0.653,0.649,0.302,0.12,0.089,0.0635,0.176,0.131,0.098
0.661,0.649,0.675,0.643,0.324,0.14650000000000002,0.124,0.056,0.215,0.184,0.096
0.668,0.659,0.674,0.657,0.333,0.11099999999999999,0.084,0.020999999999999998,0.164,0.122,0.037
0.67,0.664,0.671,0.664,0.335,0.123,0.092,0.05,0.204,0.16,0.096
0.663,0.658,0.662,0.658,0.321,0.137,0.10550000000000001,0.0695,0.202,0.146,0.133
0.637,0.633,0.635,0.633,0.268,0.0975,0.073,0.029500000000000002,0.167,0.118,0.11
0.658,0.653,0.658,0.653,0.311,0.14300000000000002,0.115,0.07050000000000001,0.236,0.2,0.123
0.655,0.65,0.654,0.65,0.304,0.0995,0.0755,0.012,0.151,0.121,0.07
0.666,0.663,0.664,0.663,0.327,0.16299999999999998,0.134,0.0825,0.245,0.203,0.134
0.677,0.669,0.682,0.668,0.351,0.1405,0.10800000000000001,0.063,0.204,0.156,0.102
0.662,0.658,0.662,0.658,0.32,0.119,0.087,0.0495,0.187,0.147,0.083
0.647,0.642,0.646,0.642,0.289,0.096,0.07250000000000001,0.0425,0.162,0.13,0.09
0.665,0.66,0.664,0.66,0.324,0.126,0.1,0.034499999999999996,0.228,0.196,0.077
0.655,0.652,0.654,0.652,0.306,0.154,0.1265,0.084,0.242,0.202,0.143
0.656,0.651,0.656,0.651,0.307,0.129,0.10200000000000001,0.0505,0.197,0.168,0.089
0.644,0.64,0.642,0.641,0.283,0.126,0.10350000000000001,0.043000000000000003,0.181,0.153,0.102
0.65,0.646,0.65,0.646,0.295,0.099,0.074,0.036500000000000005,0.146,0.116,0.072
0.641,0.635,0.642,0.633,0.276,0.066,0.0415,0.034,0.127,0.099,0.069
0.652,0.637,0.684,0.622,0.317,0.093,0.0685,0.016,0.136,0.098,0.046
0.642,0.632,0.652,0.625,0.283,0.07300000000000001,0.049,0.007,0.115,0.077,0.02
0.648,0.644,0.647,0.644,0.291,0.13849999999999998,0.11449999999999999,0.0645,0.206,0.183,0.14
0.66,0.653,0.662,0.652,0.316,0.142,0.11649999999999999,0.059,0.238,0.209,0.111
0.625,0.623,0.623,0.623,0.246,0.08650000000000001,0.0635,0.058499999999999996,0.146,0.123,0.115
0.62,0.614,0.619,0.613,0.233,0.062,0.042,0.041,0.125,0.099,0.114
0.663,0.654,0.673,0.649,0.326,0.177,0.157,0.07,0.251,0.216,0.111
0.652,0.638,0.677,0.625,0.312,0.0975,0.076,0.010499999999999999,0.142,0.111,0.033
0.642,0.637,0.641,0.637,0.278,0.126,0.1005,0.06,0.208,0.185,0.088
0.661,0.655,0.661,0.655,0.316,0.10500000000000001,0.0765,0.028499999999999998,0.169,0.125,0.065
0.666,0.655,0.681,0.649,0.335,0.15999999999999998,0.1345,0.07050000000000001,0.242,0.198,0.131
0.663,0.659,0.662,0.659,0.321,0.16949999999999998,0.14100000000000001,0.0925,0.243,0.205,0.135
0.639,0.633,0.638,0.632,0.271,0.109,0.0865,0.039,0.163,0.133,0.058
0.656,0.651,0.655,0.651,0.306,0.1805,0.1525,0.114,0.261,0.226,0.172
0.656,0.652,0.656,0.652,0.308,0.16249999999999998,0.138,0.07300000000000001,0.26,0.235,0.128
0.656,0.649,0.658,0.647,0.307,0.1275,0.1,0.0535,0.206,0.168,0.096
0.636,0.621,0.662,0.604,0.28,0.105,0.0875,0.025,0.167,0.138,0.056
0.674,0.664,0.684,0.661,0.347,0.1165,0.087,0.027499999999999997,0.179,0.131,0.062
0.642,0.635,0.643,0.634,0.278,0.096,0.07,0.0355,0.146,0.116,0.094
0.65,0.642,0.653,0.64,0.295,0.10250000000000001,0.0765,0.0375,0.175,0.143,0.077
0.673,0.664,0.68,0.661,0.343,0.11299999999999999,0.0855,0.02,0.176,0.139,0.031
0.643,0.638,0.643,0.638,0.281,0.0955,0.07400000000000001,0.029,0.146,0.116,0.096
0.677,0.671,0.68,0.67,0.351,0.16849999999999998,0.137,0.087,0.27,0.228,0.149
0.676,0.67,0.679,0.669,0.349,0.1535,0.1225,0.07100000000000001,0.239,0.197,0.116
0.659,0.654,0.659,0.654,0.313,0.11399999999999999,0.0895,0.07200000000000001,0.202,0.168,0.129
0.668,0.66,0.673,0.658,0.332,0.127,0.0985,0.0475,0.181,0.14,0.079
0.663,0.657,0.664,0.656,0.321,0.182,0.1565,0.091,0.3,0.268,0.161
0.642,0.639,0.641,0.639,0.28,0.132,0.1085,0.057999999999999996,0.203,0.176,0.083
0.667,0.659,0.672,0.656,0.33,0.11549999999999999,0.0845,0.0435,0.206,0.161,0.1
0.645,0.64,0.645,0.639,0.284,0.14150000000000001,0.117,0.0675,0.215,0.169,0.134
0.67,0.664,0.672,0.663,0.335,0.1485,0.1225,0.0475,0.218,0.18,0.076
0.646,0.642,0.644,0.642,0.286,0.169,0.148,0.0795,0.282,0.254,0.149
0.639,0.635,0.638,0.635,0.273,0.11649999999999999,0.0925,0.052,0.171,0.134,0.099
0.674,0.667,0.676,0.666,0.343,0.135,0.107,0.044,0.208,0.171,0.068
0.662,0.651,0.674,0.645,0.324,0.10900000000000001,0.0805,0.0345,0.159,0.129,0.065
0.64,0.634,0.639,0.634,0.273,0.117,0.097,0.036500000000000005,0.185,0.163,0.079
0.64,0.636,0.639,0.637,0.275,0.105,0.0805,0.0635,0.184,0.153,0.135
0.654,0.649,0.654,0.649,0.303,0.127,0.0975,0.064,0.184,0.15,0.119
0.644,0.639,0.643,0.638,0.282,0.092,0.063,0.0385,0.136,0.1,0.079
0.652,0.645,0.654,0.644,0.299,0.11199999999999999,0.08349999999999999,0.0505,0.177,0.137,0.091
0.633,0.624,0.636,0.621,0.261,0.034999999999999996,0.033,0.026500000000000003,0.079,0.104,0.054
0.678,0.669,0.686,0.667,0.355,0.172,0.14400000000000002,0.0765,0.265,0.22,0.138
0.66,0.653,0.662,0.651,0.315,0.107,0.0795,0.0305,0.171,0.133,0.057
0.641,0.639,0.64,0.639,0.279,0.11599999999999999,0.088,0.063,0.183,0.143,0.106
0.655,0.643,0.671,0.635,0.313,0.1045,0.078,0.036500000000000005,0.169,0.141,0.078
0.68,0.673,0.683,0.672,0.356,0.14650000000000002,0.11750000000000001,0.0545,0.218,0.179,0.091
0.673,0.664,0.681,0.662,0.345,0.16649999999999998,0.1375,0.08,0.255,0.213,0.135
0.67,0.664,0.673,0.663,0.336,0.1355,0.109,0.0425,0.185,0.154,0.086
0.655,0.65,0.655,0.65,0.305,0.126,0.1005,0.0465,0.185,0.146,0.082
0.657,0.65,0.66,0.648,0.31,0.0965,0.069,0.0605,0.179,0.148,0.119
0.634,0.629,0.633,0.628,0.262,0.0835,0.0575,0.0315,0.146,0.103,0.085
0.679,0.671,0.682,0.67,0.354,0.15999999999999998,0.1325,0.064,0.249,0.212,0.103
0.647,0.642,0.646,0.641,0.288,0.1155,0.0895,0.0465,0.171,0.142,0.101
0.67,0.663,0.674,0.662,0.337,0.14350000000000002,0.113,0.0675,0.232,0.192,0.117
0.673,0.665,0.678,0.664,0.343,0.1,0.067,0.0285,0.151,0.116,0.074
0.67,0.663,0.673,0.662,0.336,0.1365,0.107,0.05450000000000001,0.206,0.17,0.088
0.648,0.645,0.647,0.645,0.292,0.113,0.08399999999999999,0.057999999999999996,0.164,0.119,0.104
0.643,0.638,0.642,0.637,0.28,0.1285,0.1015,0.07100000000000001,0.183,0.151,0.118
0.643,0.638,0.642,0.637,0.28,0.12,0.0955,0.0495,0.169,0.139,0.114
0.634,0.629,0.633,0.629,0.262,0.09050000000000001,0.0685,0.034499999999999996,0.16,0.135,0.074
0.639,0.633,0.638,0.632,0.271,0.0825,0.054,0.036000000000000004,0.13,0.098,0.079
0.677,0.671,0.68,0.67,0.351,0.163,0.1305,0.081,0.269,0.23,0.14
0.64,0.636,0.639,0.635,0.275,0.119,0.096,0.0415,0.173,0.126,0.097
0.665,0.658,0.666,0.657,0.324,0.138,0.1075,0.067,0.2,0.154,0.106
0.678,0.672,0.68,0.671,0.352,0.1595,0.1275,0.08049999999999999,0.26,0.219,0.136
0.65,0.646,0.649,0.646,0.296,0.11349999999999999,0.0885,0.032,0.194,0.152,0.086
0.659,0.651,0.663,0.65,0.314,0.109,0.079,0.0485,0.174,0.14,0.106
0.68,0.674,0.681,0.674,0.355,0.1795,0.1495,0.0935,0.292,0.252,0.161
0.634,0.628,0.634,0.628,0.262,0.11900000000000001,0.096,0.053500000000000006,0.18,0.141,0.1
0.641,0.635,0.641,0.634,0.276,0.12,0.0985,0.0455,0.176,0.153,0.093
0.635,0.631,0.633,0.631,0.264,0.124,0.101,0.057999999999999996,0.204,0.175,0.101
0.668,0.661,0.67,0.66,0.331,0.111,0.08249999999999999,0.026000000000000002,0.152,0.111,0.045
0.674,0.667,0.676,0.667,0.343,0.1565,0.1285,0.0675,0.25,0.215,0.109
0.635,0.631,0.634,0.631,0.265,0.11199999999999999,0.087,0.049,0.175,0.151,0.091
0.629,0.625,0.628,0.625,0.253,0.1075,0.08499999999999999,0.0505,0.148,0.115,0.084
0.637,0.624,0.653,0.612,0.276,0.060000000000000005,0.0665,0.033,0.136,0.13,0.072
0.662,0.654,0.668,0.652,0.321,0.10200000000000001,0.07050000000000001,0.037000000000000005,0.151,0.117,0.065
0.645,0.631,0.666,0.618,0.295,0.10250000000000001,0.08299999999999999,0.0215,0.154,0.123,0.038
0.649,0.645,0.647,0.646,0.293,0.128,0.1,0.06,0.197,0.169,0.117
0.67,0.66,0.68,0.656,0.34,0.116,0.08299999999999999,0.0505,0.174,0.123,0.09
0.663,0.655,0.669,0.652,0.324,0.10500000000000001,0.07500000000000001,0.0615,0.183,0.151,0.119
0.661,0.654,0.665,0.652,0.318,0.1765,0.154,0.08499999999999999,0.278,0.249,0.138
0.675,0.669,0.678,0.668,0.347,0.2,0.1735,0.10500000000000001,0.298,0.261,0.161
0.645,0.631,0.666,0.619,0.296,0.10450000000000001,0.08299999999999999,0.0325,0.162,0.127,0.063
0.659,0.65,0.665,0.647,0.315,0.10200000000000001,0.07550000000000001,0.021500000000000002,0.156,0.116,0.043
0.653,0.643,0.662,0.638,0.304,0.0605,0.051500000000000004,0.0405,0.112,0.114,0.09
0.664,0.656,0.668,0.655,0.324,0.1175,0.0915,0.029500000000000002,0.172,0.125,0.069
0.652,0.642,0.659,0.638,0.3,0.08,0.0575,0.0435,0.146,0.119,0.083
0.678,0.671,0.681,0.67,0.352,0.14300000000000002,0.113,0.054,0.22,0.181,0.111
0.659,0.652,0.662,0.65,0.314,0.099,0.07250000000000001,0.055,0.175,0.144,0.108
0.656,0.646,0.666,0.641,0.312,0.067,0.049,0.024999999999999998,0.127,0.102,0.064
0.667,0.66,0.671,0.659,0.33,0.17049999999999998,0.14750000000000002,0.069,0.281,0.254,0.119
0.661,0.655,0.662,0.654,0.316,0.148,0.1225,0.0615,0.217,0.182,0.111
0.666,0.658,0.669,0.657,0.327,0.132,0.10200000000000001,0.053500000000000006,0.197,0.151,0.09
0.65,0.645,0.649,0.645,0.294,0.139,0.11150000000000002,0.0725,0.23,0.192,0.133
0.654,0.648,0.653,0.648,0.302,0.10600000000000001,0.079,0.032,0.169,0.134,0.053
0.666,0.656,0.675,0.652,0.33,0.096,0.0665,0.0215,0.137,0.091,0.06
0.657,0.648,0.662,0.646,0.31,0.085,0.059,0.018,0.13,0.094,0.036
0.656,0.647,0.663,0.644,0.31,0.1205,0.096,0.039,0.175,0.145,0.093
0.662,0.655,0.664,0.654,0.319,0.1305,0.0985,0.0675,0.201,0.161,0.102
0.64,0.634,0.64,0.634,0.274,0.1325,0.10649999999999998,0.07350000000000001,0.195,0.159,0.116
0.653,0.645,0.658,0.642,0.302,0.11349999999999999,0.08549999999999999,0.049999999999999996,0.167,0.135,0.106
0.675,0.668,0.678,0.667,0.346,0.138,0.11249999999999999,0.0405,0.21,0.175,0.065
0.662,0.654,0.667,0.652,0.321,0.094,0.064,0.023,0.138,0.106,0.052
0.662,0.653,0.668,0.65,0.321,0.1035,0.072,0.03900000000000001,0.159,0.128,0.074
0.673,0.664,0.681,0.661,0.344,0.10400000000000001,0.0755,0.012,0.146,0.11,0.031
0.616,0.616,0.616,0.615,0.231,0.11499999999999999,0.096,0.056,0.179,0.147,0.101
0.671,0.663,0.676,0.661,0.339,0.108,0.0785,0.0235,0.17,0.128,0.043
0.66,0.651,0.667,0.648,0.318,0.1125,0.08049999999999999,0.0505,0.193,0.165,0.104
0.663,0.655,0.667,0.653,0.322,0.10850000000000001,0.076,0.049,0.179,0.133,0.093
0.655,0.645,0.663,0.64,0.308,0.101,0.0785,0.05,0.181,0.154,0.101
0.654,0.645,0.659,0.642,0.303,0.10650000000000001,0.079,0.0405,0.159,0.129,0.085
0.653,0.645,0.656,0.642,0.301,0.1315,0.10700000000000001,0.055,0.208,0.177,0.095
0.657,0.648,0.664,0.645,0.312,0.0885,0.061,0.016,0.13,0.101,0.041
0.662,0.655,0.665,0.654,0.32,0.1365,0.10649999999999998,0.0635,0.226,0.193,0.105
0.652,0.644,0.655,0.643,0.299,0.113,0.08549999999999999,0.0545,0.181,0.133,0.112
0.616,0.597,0.67,0.56,0.256,0.0815,0.067,0.0175,0.117,0.1,0.038
0.646,0.634,0.658,0.626,0.291,0.056999999999999995,0.0405,0.022,0.107,0.081,0.045
0.669,0.66,0.676,0.658,0.335,0.097,0.0665,0.0235,0.143,0.11,0.057
0.669,0.661,0.673,0.659,0.334,0.10300000000000001,0.074,0.021,0.158,0.115,0.038
0.662,0.654,0.666,0.652,0.32,0.11599999999999999,0.086,0.047,0.171,0.132,0.073
0.579,0.556,0.63,0.494,0.17,0.012,0.02,0.0305,0.078,0.093,0.067
0.671,0.662,0.679,0.659,0.34,0.1075,0.08,0.0365,0.173,0.146,0.068
0.666,0.657,0.671,0.655,0.328,0.1125,0.0845,0.0315,0.171,0.135,0.05
0.667,0.658,0.672,0.656,0.33,0.1205,0.089,0.048,0.19,0.158,0.105
0.67,0.662,0.678,0.659,0.339,0.101,0.0725,0.034999999999999996,0.163,0.124,0.072
0.665,0.658,0.669,0.656,0.326,0.1255,0.098,0.042499999999999996,0.183,0.148,0.08
0.642,0.625,0.684,0.602,0.303,0.10450000000000001,0.0875,0.02,0.153,0.12,0.043
0.664,0.655,0.671,0.652,0.326,0.096,0.0665,0.0235,0.147,0.101,0.046
0.663,0.655,0.668,0.652,0.323,0.1145,0.0875,0.0295,0.165,0.13,0.05
0.664,0.657,0.667,0.655,0.324,0.10099999999999999,0.07100000000000001,0.028999999999999998,0.165,0.135,0.059
0.664,0.656,0.668,0.655,0.324,0.14350000000000002,0.11850000000000001,0.052500000000000005,0.232,0.196,0.099
0.664,0.656,0.669,0.654,0.324,0.0945,0.0695,0.0075,0.136,0.094,0.024
0.666,0.658,0.672,0.656,0.329,0.1015,0.07,0.03,0.164,0.119,0.061
0.672,0.664,0.677,0.662,0.341,0.156,0.1295,0.063,0.228,0.194,0.093
0.673,0.666,0.677,0.665,0.343,0.1395,0.11399999999999999,0.037000000000000005,0.224,0.195,0.066
0.643,0.637,0.643,0.637,0.28,0.10550000000000001,0.0805,0.038,0.157,0.13,0.076
0.66,0.652,0.666,0.649,0.317,0.10250000000000001,0.07500000000000001,0.02,0.142,0.112,0.05
0.674,0.667,0.679,0.665,0.345,0.113,0.082,0.031,0.171,0.132,0.062
0.657,0.648,0.664,0.645,0.312,0.095,0.0675,0.0235,0.134,0.089,0.039
0.643,0.638,0.643,0.637,0.281,0.139,0.1145,0.0665,0.205,0.174,0.122
0.667,0.659,0.672,0.656,0.33,0.138,0.1115,0.0545,0.214,0.171,0.102
0.667,0.658,0.675,0.655,0.333,0.122,0.0945,0.0395,0.185,0.152,0.098
0.661,0.652,0.666,0.65,0.318,0.11699999999999999,0.08650000000000001,0.048,0.176,0.147,0.083
0.65,0.641,0.655,0.638,0.296,0.085,0.06,0.046,0.165,0.136,0.097
0.661,0.652,0.668,0.649,0.32,0.088,0.0585,0.012,0.145,0.117,0.035
0.668,0.662,0.67,0.662,0.332,0.143,0.11449999999999999,0.0595,0.231,0.191,0.109
0.633,0.621,0.646,0.611,0.265,0.20350000000000001,0.191,0.11699999999999999,0.331,0.308,0.223
0.673,0.664,0.679,0.662,0.343,0.0945,0.063,0.021500000000000002,0.152,0.12,0.047
0.648,0.64,0.652,0.637,0.292,0.08349999999999999,0.0575,0.018000000000000002,0.144,0.103,0.053
0.661,0.654,0.664,0.652,0.318,0.11449999999999999,0.08549999999999999,0.048,0.205,0.176,0.099
0.648,0.64,0.653,0.637,0.292,0.0855,0.0575,0.025500000000000002,0.148,0.122,0.053
0.655,0.651,0.655,0.651,0.306,0.165,0.1335,0.093,0.25,0.216,0.155
0.674,0.663,0.693,0.656,0.354,0.108,0.0725,0.027999999999999997,0.158,0.118,0.059
0.679,0.673,0.68,0.673,0.353,0.1375,0.0935,0.07400000000000001,0.204,0.155,0.139
0.67,0.666,0.67,0.666,0.337,0.1115,0.0695,0.0595,0.159,0.124,0.107
0.653,0.646,0.656,0.645,0.302,0.176,0.149,0.098,0.267,0.227,0.187
0.679,0.671,0.685,0.669,0.356,0.1245,0.08549999999999999,0.054,0.19,0.144,0.093
0.669,0.664,0.67,0.663,0.333,0.1185,0.0825,0.047499999999999994,0.179,0.144,0.118
0.652,0.643,0.659,0.639,0.302,0.081,0.045,0.025500000000000002,0.123,0.099,0.048
0.675,0.67,0.675,0.67,0.345,0.1525,0.1185,0.0595,0.232,0.165,0.152
0.669,0.658,0.687,0.652,0.344,0.0985,0.066,0.0165,0.154,0.094,0.096
0.629,0.624,0.628,0.624,0.252,0.0795,0.051000000000000004,0.031,0.139,0.08,0.105
0.67,0.666,0.671,0.666,0.337,0.1315,0.097,0.048,0.195,0.148,0.122
0.675,0.664,0.692,0.658,0.355,0.1005,0.0605,0.036,0.146,0.112,0.084
0.644,0.627,0.7,0.6,0.319,0.07200000000000001,0.0475,0.006999999999999999,0.104,0.068,0.024
0.684,0.678,0.687,0.677,0.365,0.15,0.1105,0.068,0.24,0.195,0.115
0.676,0.67,0.68,0.669,0.35,0.113,0.068,0.066,0.174,0.121,0.115
0.67,0.665,0.671,0.665,0.335,0.10999999999999999,0.074,0.034,0.169,0.135,0.095
0.673,0.666,0.676,0.665,0.342,0.16649999999999998,0.1345,0.079,0.252,0.221,0.142
0.677,0.67,0.681,0.669,0.351,0.11349999999999999,0.076,0.035500000000000004,0.174,0.14,0.08
0.668,0.663,0.668,0.663,0.331,0.16799999999999998,0.1345,0.095,0.256,0.216,0.165
