,Accuracy,Recall,Precision,F1,MCC,SPD,AOD,EOD,AVG_SPD,AVG_AOD,AVG_EOD,Run
110,0.847,0.732,0.828,0.762,0.551,0.188,0.161,0.264,0.11699999999999999,0.08399999999999999,0.1325,6
111,0.858,0.771,0.829,0.793,0.598,0.197,0.118,0.18,0.12,0.05,0.0625,7
112,0.856,0.764,0.832,0.788,0.591,0.192,0.107,0.172,0.114,0.043,0.051,7
113,0.856,0.766,0.829,0.789,0.591,0.19,0.098,0.142,0.118,0.0545,0.07400000000000001,7
114,0.855,0.76,0.831,0.786,0.587,0.202,0.137,0.212,0.1255,0.07150000000000001,0.10200000000000001,7
115,0.861,0.772,0.834,0.795,0.603,0.192,0.102,0.154,0.12000000000000001,0.053,0.07300000000000001,5
116,0.86,0.78,0.824,0.798,0.602,0.202,0.09,0.115,0.1265,0.050499999999999996,0.0595,5
117,0.859,0.762,0.835,0.788,0.593,0.184,0.088,0.129,0.1145,0.049,0.067,5
118,0.858,0.76,0.833,0.787,0.589,0.189,0.106,0.16,0.1185,0.0565,0.0775,5
119,0.855,0.753,0.832,0.78,0.58,0.188,0.122,0.191,0.118,0.06,0.085,5
120,0.859,0.779,0.824,0.797,0.601,0.199,0.078,0.105,0.126,0.0365,0.0535,4
121,0.863,0.779,0.834,0.8,0.61,0.206,0.092,0.136,0.1315,0.0455,0.0655,4
122,0.859,0.78,0.822,0.798,0.601,0.206,0.061,0.075,0.131,0.031,0.036500000000000005,4
123,0.856,0.775,0.817,0.793,0.591,0.213,0.081,0.11,0.1345,0.042,0.053000000000000005,4
124,0.855,0.756,0.829,0.782,0.581,0.195,0.115,0.181,0.121,0.054,0.08449999999999999,4
125,0.852,0.74,0.837,0.77,0.569,0.166,0.098,0.16,0.1025,0.047,0.076,4
126,0.846,0.725,0.833,0.756,0.547,0.163,0.104,0.17,0.10099999999999999,0.049499999999999995,0.08,4
