,Accuracy,Recall,Precision,F1,MCC,SPD,AOD,EOD,AVG_SPD,AVG_AOD,AVG_EOD,Run
109,0.68,0.67,0.678,0.671,0.348,0.27,0.238,0.155,0.16599999999999998,0.135,0.099,14
110,0.686,0.674,0.685,0.675,0.359,0.24,0.203,0.115,0.14850000000000002,0.118,0.076,14
111,0.621,0.59,0.649,0.561,0.231,0.09,0.078,0.045,0.05,0.0325,0.014499999999999999,14
112,0.656,0.634,0.671,0.626,0.302,0.176,0.158,0.108,0.121,0.1005,0.051500000000000004,14
113,0.661,0.64,0.671,0.634,0.31,0.183,0.141,0.097,0.11449999999999999,0.087,0.0615,14
114,0.619,0.588,0.647,0.558,0.227,0.079,0.056,0.05,0.0345,0.022,0.015,14
115,0.636,0.606,0.667,0.583,0.266,0.152,0.137,0.043,0.094,0.08299999999999999,0.025500000000000002,14
116,0.654,0.646,0.653,0.646,0.299,0.163,0.132,0.086,0.099,0.07400000000000001,0.041999999999999996,15
117,0.654,0.636,0.676,0.624,0.309,0.223,0.203,0.084,0.14100000000000001,0.1255,0.047,15
118,0.65,0.631,0.678,0.616,0.305,0.153,0.126,0.07,0.0995,0.0795,0.0305,15
119,0.646,0.639,0.644,0.638,0.283,0.12,0.094,0.11,0.075,0.0475,0.0575,15
120,0.652,0.645,0.65,0.646,0.295,0.206,0.179,0.13,0.123,0.0955,0.065,15
121,0.645,0.637,0.643,0.637,0.28,0.174,0.137,0.187,0.078,0.0685,0.1015,15
122,0.689,0.681,0.689,0.682,0.37,0.284,0.245,0.148,0.1865,0.158,0.0985,11
123,0.679,0.671,0.677,0.672,0.348,0.225,0.183,0.127,0.1445,0.115,0.0755,11
124,0.675,0.66,0.685,0.657,0.344,0.184,0.142,0.066,0.1255,0.10350000000000001,0.038,11
125,0.681,0.672,0.68,0.672,0.352,0.244,0.21,0.13,0.16399999999999998,0.138,0.079,11
126,0.687,0.679,0.686,0.68,0.366,0.272,0.235,0.138,0.1755,0.1475,0.092,11
127,0.669,0.658,0.67,0.658,0.328,0.191,0.163,0.105,0.127,0.09949999999999999,0.0615,11
128,0.672,0.653,0.692,0.645,0.343,0.153,0.113,0.044,0.0905,0.068,0.0165,11
129,0.66,0.639,0.685,0.628,0.321,0.116,0.103,0.038,0.0715,0.0495,0.001,11
130,0.636,0.609,0.68,0.582,0.28,0.155,0.139,0.051,0.10300000000000001,0.0925,0.0295,11
131,0.646,0.639,0.642,0.639,0.281,0.17,0.152,0.124,0.10250000000000001,0.0775,0.0605,11
132,0.685,0.674,0.684,0.675,0.358,0.243,0.211,0.12,0.14850000000000002,0.1195,0.07550000000000001,10
133,0.687,0.68,0.684,0.681,0.364,0.291,0.265,0.145,0.17049999999999998,0.1405,0.0965,10
134,0.666,0.653,0.665,0.653,0.318,0.175,0.158,0.117,0.12,0.0965,0.049999999999999996,10
135,0.665,0.656,0.662,0.656,0.318,0.246,0.207,0.16,0.151,0.1215,0.1015,10
136,0.663,0.657,0.66,0.658,0.317,0.176,0.148,0.111,0.11149999999999999,0.082,0.0665,10
137,0.676,0.667,0.674,0.668,0.341,0.214,0.182,0.131,0.126,0.0995,0.0645,12
138,0.691,0.679,0.692,0.68,0.371,0.17,0.142,0.065,0.119,0.0925,0.0385,12
139,0.664,0.643,0.676,0.638,0.318,0.153,0.121,0.095,0.10650000000000001,0.0835,0.0535,12
140,0.667,0.645,0.682,0.638,0.325,0.088,0.061,0.054,0.058,0.0295,0.022,12
141,0.609,0.575,0.643,0.536,0.207,0.092,0.11,0.053,0.023,0.034,0.026,12
142,0.635,0.613,0.641,0.604,0.253,0.15,0.13,0.115,0.0815,0.0625,0.0455,12
143,0.605,0.576,0.614,0.553,0.187,0.189,0.241,0.135,0.089,0.10650000000000001,0.0645,12
144,0.632,0.606,0.65,0.589,0.252,0.097,0.075,0.032,0.0455,0.0345,0.014,12
145,0.682,0.676,0.678,0.677,0.354,0.35,0.302,0.248,0.197,0.165,0.1355,13
146,0.677,0.668,0.673,0.669,0.341,0.322,0.28,0.207,0.177,0.15,0.10400000000000001,13
147,0.681,0.668,0.679,0.669,0.347,0.181,0.13,0.109,0.109,0.078,0.048,13
148,0.662,0.644,0.664,0.642,0.308,0.195,0.159,0.102,0.101,0.0765,0.04,13
149,0.676,0.662,0.675,0.662,0.336,0.225,0.189,0.107,0.125,0.0985,0.0565,13
150,0.676,0.654,0.689,0.65,0.341,0.102,0.073,0.016,0.0675,0.04,0.008,13
151,0.625,0.613,0.618,0.613,0.231,0.139,0.114,0.188,0.066,0.056,0.0875,13
152,0.68,0.667,0.681,0.667,0.347,0.227,0.205,0.087,0.1255,0.0945,0.055,9
153,0.672,0.668,0.668,0.668,0.336,0.236,0.172,0.164,0.15150000000000002,0.11499999999999999,0.1,9
154,0.669,0.666,0.666,0.666,0.332,0.222,0.169,0.126,0.14350000000000002,0.11050000000000001,0.08099999999999999,9
155,0.659,0.654,0.655,0.655,0.31,0.201,0.157,0.122,0.1235,0.0915,0.07100000000000001,9
156,0.662,0.656,0.658,0.657,0.315,0.128,0.093,0.059,0.08399999999999999,0.05,0.0355,9
157,0.627,0.602,0.64,0.586,0.239,0.063,0.043,0.063,0.036,0.017,0.022,9
158,0.64,0.621,0.644,0.615,0.263,0.103,0.128,0.096,0.0535,0.0625,0.043000000000000003,9
159,0.685,0.678,0.684,0.678,0.362,0.347,0.295,0.239,0.2235,0.19,0.149,8
160,0.682,0.676,0.68,0.677,0.356,0.349,0.288,0.267,0.215,0.178,0.1565,8
161,0.682,0.674,0.681,0.675,0.355,0.258,0.198,0.174,0.16049999999999998,0.12,0.1075,8
162,0.679,0.671,0.678,0.671,0.349,0.265,0.196,0.197,0.16599999999999998,0.127,0.112,8
163,0.669,0.662,0.668,0.663,0.33,0.266,0.202,0.212,0.172,0.1315,0.132,8
164,0.667,0.658,0.666,0.658,0.325,0.223,0.184,0.137,0.14200000000000002,0.11149999999999999,0.084,8
165,0.606,0.58,0.627,0.551,0.202,0.169,0.159,0.086,0.10450000000000001,0.0965,0.05,8
166,0.572,0.535,0.645,0.444,0.142,0.023,0.045,0.043,0.01,0.012,0.018000000000000002,8
167,0.612,0.585,0.648,0.55,0.224,0.132,0.166,0.101,0.062,0.0765,0.047,8
168,0.642,0.622,0.661,0.609,0.281,0.223,0.195,0.124,0.14400000000000002,0.125,0.0785,8
169,0.637,0.614,0.663,0.596,0.273,0.232,0.21,0.115,0.14400000000000002,0.131,0.0625,8
170,0.64,0.619,0.66,0.604,0.276,0.183,0.165,0.067,0.116,0.10250000000000001,0.043,8
171,0.588,0.56,0.608,0.52,0.162,0.104,0.113,0.077,0.044,0.049,0.0365,8
