accuracy,recall,precision,f1,mcc,spd,aod,eod
0.607,0.601,0.602,0.601,0.202,0.074,0.058,0.038
0.569,0.536,0.562,0.498,0.094,0.036,0.031,0.016
0.577,0.578,0.577,0.576,0.155,0.13,0.122,0.082
0.642,0.635,0.638,0.635,0.272,0.175,0.147,0.161
0.61,0.605,0.605,0.605,0.21,0.126,0.11,0.085
0.61,0.605,0.605,0.605,0.21,0.069,0.051,0.034
0.607,0.6,0.601,0.6,0.202,0.129,0.112,0.099
0.585,0.581,0.581,0.581,0.162,0.049,0.032,0.035
0.602,0.588,0.595,0.586,0.183,0.098,0.077,0.099
0.584,0.571,0.576,0.569,0.147,0.207,0.22,0.241
0.577,0.584,0.584,0.577,0.168,0.189,0.177,0.159
0.618,0.615,0.615,0.615,0.23,0.231,0.206,0.221
0.576,0.568,0.569,0.568,0.137,0.21,0.186,0.255
0.609,0.596,0.603,0.594,0.198,0.16,0.149,0.108
0.653,0.647,0.649,0.647,0.296,0.199,0.172,0.165
0.577,0.575,0.574,0.574,0.149,0.131,0.12,0.102
0.626,0.617,0.621,0.617,0.238,0.123,0.101,0.092
0.652,0.642,0.647,0.642,0.289,0.152,0.125,0.124
0.587,0.585,0.585,0.585,0.17,0.145,0.131,0.12
0.606,0.58,0.61,0.562,0.188,0.114,0.103,0.079
0.562,0.518,0.572,0.426,0.071,0.043,0.049,0.04
0.632,0.621,0.627,0.621,0.248,0.05,0.026,0.023
0.569,0.566,0.566,0.566,0.132,0.096,0.087,0.063
0.561,0.516,0.573,0.418,0.067,0.044,0.042,0.037
0.553,0.505,0.539,0.388,0.028,0.024,0.027,0.015
0.606,0.596,0.599,0.596,0.195,0.098,0.077,0.092
0.579,0.554,0.572,0.537,0.124,0.117,0.113,0.081
0.628,0.617,0.623,0.617,0.239,0.121,0.101,0.081
0.63,0.617,0.626,0.616,0.243,0.17,0.153,0.122
0.561,0.559,0.559,0.559,0.118,0.064,0.055,0.044
0.59,0.587,0.587,0.587,0.174,0.074,0.064,0.025
0.588,0.595,0.595,0.588,0.19,0.084,0.072,0.037
0.64,0.633,0.635,0.634,0.269,0.17,0.148,0.126
0.576,0.574,0.574,0.574,0.148,0.158,0.151,0.113
0.6,0.594,0.595,0.594,0.188,0.079,0.057,0.077
0.605,0.583,0.603,0.572,0.185,0.063,0.078,0.095
0.614,0.608,0.609,0.608,0.217,0.108,0.084,0.099
0.585,0.59,0.59,0.585,0.18,0.142,0.125,0.122
0.628,0.621,0.623,0.622,0.244,0.134,0.112,0.104
0.574,0.581,0.581,0.574,0.162,0.133,0.117,0.125
0.603,0.599,0.599,0.599,0.198,0.139,0.117,0.134
0.596,0.592,0.592,0.592,0.184,0.107,0.096,0.058
0.589,0.586,0.585,0.586,0.171,0.088,0.071,0.071
0.596,0.589,0.59,0.589,0.178,0.076,0.055,0.078
0.596,0.589,0.59,0.589,0.179,0.123,0.111,0.079
0.603,0.595,0.597,0.595,0.193,0.069,0.048,0.062
0.622,0.612,0.617,0.612,0.229,0.303,0.288,0.257
0.619,0.613,0.614,0.614,0.227,0.126,0.11,0.072
0.632,0.621,0.627,0.621,0.247,0.13,0.11,0.091
0.636,0.628,0.631,0.628,0.259,0.176,0.153,0.141
0.581,0.582,0.581,0.58,0.163,0.164,0.148,0.152
0.608,0.601,0.603,0.601,0.204,0.087,0.068,0.061
0.64,0.632,0.635,0.633,0.267,0.151,0.129,0.104
0.605,0.6,0.6,0.6,0.2,0.112,0.094,0.09
0.618,0.614,0.614,0.614,0.228,0.062,0.041,0.033
0.552,0.525,0.534,0.502,0.058,0.266,0.283,0.228
0.608,0.604,0.604,0.604,0.207,0.127,0.105,0.116
0.631,0.621,0.626,0.621,0.247,0.15,0.13,0.108
0.587,0.55,0.611,0.496,0.149,0.055,0.044,0.053
0.582,0.578,0.578,0.578,0.156,0.13,0.116,0.108
0.614,0.609,0.61,0.609,0.219,0.102,0.084,0.064
0.622,0.616,0.617,0.617,0.234,0.104,0.078,0.093
0.6,0.591,0.593,0.591,0.184,0.052,0.033,0.039
0.614,0.604,0.608,0.603,0.211,0.11,0.094,0.07
0.602,0.598,0.598,0.598,0.197,0.084,0.067,0.053
0.558,0.563,0.563,0.558,0.126,0.108,0.098,0.086
0.584,0.58,0.58,0.58,0.159,0.061,0.047,0.036
0.618,0.614,0.614,0.614,0.228,0.125,0.104,0.097
0.618,0.614,0.614,0.614,0.227,0.129,0.111,0.087
0.594,0.568,0.594,0.549,0.159,0.145,0.141,0.094
0.622,0.618,0.618,0.618,0.235,0.18,0.16,0.147
0.612,0.607,0.608,0.607,0.215,0.149,0.138,0.083
0.619,0.614,0.614,0.614,0.228,0.14,0.12,0.108
0.625,0.623,0.622,0.622,0.244,0.127,0.104,0.097
0.614,0.605,0.608,0.606,0.214,0.099,0.08,0.071
0.612,0.609,0.608,0.609,0.217,0.14,0.117,0.126
0.626,0.617,0.62,0.617,0.237,0.103,0.085,0.058
0.596,0.59,0.591,0.591,0.182,0.079,0.072,0.013
0.61,0.606,0.606,0.606,0.211,0.069,0.048,0.048
0.623,0.615,0.618,0.615,0.233,0.139,0.122,0.092
0.632,0.624,0.626,0.624,0.25,0.15,0.129,0.114
0.621,0.615,0.616,0.615,0.231,0.124,0.106,0.084
0.603,0.596,0.598,0.596,0.194,0.094,0.075,0.078
0.601,0.598,0.597,0.597,0.195,0.124,0.109,0.085
0.61,0.606,0.606,0.606,0.211,0.102,0.088,0.051
0.627,0.619,0.622,0.619,0.241,0.112,0.088,0.089
0.604,0.598,0.599,0.599,0.197,0.122,0.108,0.076
0.654,0.64,0.653,0.639,0.293,0.134,0.112,0.079
0.656,0.65,0.652,0.651,0.302,0.168,0.135,0.154
0.646,0.642,0.642,0.642,0.284,0.121,0.09,0.107
0.603,0.6,0.6,0.6,0.2,0.105,0.091,0.06
0.62,0.611,0.615,0.611,0.225,0.125,0.103,0.107
0.561,0.573,0.575,0.56,0.147,0.158,0.141,0.164
0.61,0.607,0.607,0.607,0.214,0.177,0.161,0.137
0.653,0.646,0.649,0.646,0.295,0.176,0.155,0.114
0.658,0.654,0.654,0.654,0.309,0.276,0.249,0.236
0.595,0.572,0.592,0.558,0.162,0.092,0.08,0.069
0.636,0.626,0.631,0.627,0.257,0.179,0.16,0.132
0.647,0.639,0.642,0.64,0.281,0.189,0.164,0.153
0.522,0.488,0.479,0.44,-0.031,0.443,0.453,0.406
0.654,0.645,0.649,0.646,0.294,0.139,0.112,0.103
0.633,0.628,0.629,0.628,0.257,0.176,0.155,0.139
0.631,0.626,0.627,0.626,0.253,0.176,0.152,0.147
0.656,0.645,0.653,0.645,0.298,0.09,0.061,0.061
0.629,0.618,0.624,0.617,0.242,0.092,0.072,0.053
0.581,0.568,0.573,0.565,0.14,0.04,0.028,0.019
0.603,0.582,0.599,0.572,0.18,0.062,0.048,0.039
0.553,0.508,0.538,0.405,0.034,0.031,0.027,0.042
0.577,0.549,0.571,0.524,0.117,0.092,0.085,0.074
0.61,0.605,0.606,0.605,0.211,0.106,0.088,0.073
0.617,0.609,0.611,0.609,0.22,0.113,0.095,0.078
0.575,0.574,0.573,0.573,0.146,0.613,0.606,0.592
0.57,0.565,0.565,0.565,0.13,0.094,0.073,0.118
0.595,0.59,0.591,0.591,0.181,0.147,0.137,0.097
0.571,0.529,0.591,0.453,0.103,0.003,0.01,0.005
0.588,0.551,0.613,0.499,0.151,0.048,0.041,0.025
0.648,0.635,0.645,0.634,0.279,0.117,0.093,0.079
0.575,0.571,0.571,0.571,0.142,0.058,0.036,0.082
0.563,0.519,0.58,0.427,0.078,0.025,0.025,0.006
0.652,0.648,0.648,0.648,0.297,0.205,0.182,0.15
0.587,0.583,0.583,0.583,0.166,0.136,0.117,0.138
