accuracy,recall,precision,f1,mcc,spd,aod,eod
0.872,0.715,0.708,0.711,0.422,0.199,0.128,0.131
0.858,0.664,0.67,0.667,0.335,0.228,0.177,0.184
0.861,0.694,0.685,0.689,0.378,0.191,0.104,0.057
0.86,0.68,0.678,0.679,0.358,0.209,0.15,0.153
0.88,0.654,0.72,0.678,0.369,0.173,0.12,0.116
0.886,0.601,0.757,0.632,0.322,0.164,0.152,0.2
0.862,0.704,0.689,0.696,0.393,0.192,0.125,0.129
0.851,0.668,0.661,0.665,0.329,0.208,0.138,0.109
0.893,0.661,0.769,0.695,0.416,0.095,0.036,0.027
0.86,0.674,0.677,0.675,0.351,0.187,0.124,0.116
0.865,0.703,0.692,0.697,0.395,0.22,0.144,0.128
0.871,0.708,0.705,0.706,0.413,0.226,0.16,0.17
0.869,0.705,0.7,0.702,0.404,0.219,0.165,0.198
0.883,0.715,0.731,0.722,0.445,0.203,0.124,0.11
0.891,0.721,0.75,0.734,0.47,0.191,0.115,0.111
0.872,0.711,0.706,0.708,0.417,0.17,0.085,0.056
0.872,0.714,0.708,0.711,0.422,0.204,0.125,0.11
0.863,0.686,0.685,0.685,0.37,0.224,0.179,0.217
0.885,0.72,0.742,0.73,0.461,0.213,0.121,0.127
0.874,0.709,0.715,0.712,0.424,0.198,0.086,0.029
0.853,0.663,0.667,0.665,0.331,0.234,0.167,0.168
0.863,0.685,0.691,0.688,0.375,0.217,0.131,0.112
0.862,0.682,0.687,0.685,0.37,0.203,0.116,0.089
0.879,0.728,0.728,0.728,0.456,0.172,0.068,0.054
0.856,0.668,0.673,0.67,0.341,0.181,0.088,0.031
0.881,0.622,0.736,0.652,0.339,0.177,0.136,0.162
0.865,0.692,0.696,0.694,0.388,0.21,0.119,0.094
0.881,0.718,0.732,0.725,0.45,0.225,0.13,0.125
0.856,0.675,0.676,0.676,0.351,0.195,0.1,0.044
0.881,0.727,0.733,0.73,0.46,0.186,0.094,0.108
0.887,0.651,0.757,0.684,0.394,0.206,0.154,0.182
0.853,0.657,0.665,0.661,0.322,0.205,0.135,0.124
0.854,0.658,0.668,0.663,0.326,0.238,0.157,0.117
0.892,0.731,0.758,0.743,0.488,0.209,0.103,0.085
0.879,0.736,0.729,0.732,0.464,0.178,0.075,0.074
0.896,0.714,0.774,0.739,0.485,0.201,0.118,0.139
0.872,0.709,0.713,0.711,0.421,0.19,0.078,0.02
0.867,0.703,0.701,0.702,0.404,0.195,0.088,0.033
0.881,0.729,0.731,0.73,0.46,0.184,0.084,0.081
0.869,0.663,0.699,0.678,0.361,0.22,0.16,0.181
0.863,0.699,0.693,0.696,0.393,0.232,0.147,0.147
0.877,0.636,0.719,0.663,0.346,0.201,0.144,0.143
0.851,0.659,0.663,0.661,0.321,0.209,0.126,0.082
0.875,0.657,0.711,0.678,0.364,0.223,0.163,0.178
0.888,0.724,0.75,0.736,0.474,0.192,0.098,0.105
0.847,0.667,0.66,0.663,0.327,0.181,0.104,0.086
0.879,0.639,0.724,0.667,0.354,0.153,0.107,0.144
0.873,0.72,0.714,0.717,0.434,0.208,0.106,0.086
0.875,0.639,0.71,0.663,0.341,0.204,0.15,0.161
0.863,0.682,0.69,0.686,0.372,0.216,0.126,0.091
0.867,0.705,0.702,0.704,0.407,0.238,0.131,0.076
0.879,0.735,0.729,0.732,0.464,0.227,0.117,0.091
0.874,0.721,0.716,0.719,0.437,0.235,0.131,0.105
0.87,0.72,0.71,0.715,0.43,0.181,0.07,0.026
0.861,0.685,0.686,0.685,0.371,0.223,0.145,0.143
0.882,0.692,0.734,0.71,0.425,0.195,0.11,0.101
0.856,0.655,0.67,0.662,0.324,0.209,0.14,0.129
0.878,0.728,0.727,0.728,0.455,0.163,0.06,0.052
0.866,0.696,0.697,0.697,0.393,0.232,0.14,0.114
0.878,0.728,0.726,0.727,0.454,0.215,0.103,0.065
0.878,0.721,0.725,0.723,0.446,0.171,0.078,0.084
0.869,0.708,0.706,0.707,0.414,0.233,0.138,0.119
0.862,0.704,0.694,0.699,0.397,0.209,0.097,0.031
0.854,0.676,0.674,0.675,0.349,0.229,0.148,0.13
0.858,0.669,0.677,0.673,0.346,0.225,0.138,0.097
